Epoch 80/500 | latent_loss=0.001275 | mask_loss=0.001044 | total_loss=0.002319 | epoch_time=8.4s | eta=59.6m (finishes ~ 03:24:05)
Epoch 81/500 | latent_loss=0.001275 | mask_loss=0.001030 | total_loss=0.002305 | epoch_time=8.7s | eta=59.5m (finishes ~ 03:24:06)
Epoch 82/500 | latent_loss=0.001274 | mask_loss=0.001017 | total_loss=0.002291 | epoch_time=8.7s | eta=59.3m (finishes ~ 03:24:07)
Epoch 83/500 | latent_loss=0.001274 | mask_loss=0.001004 | total_loss=0.002278 | epoch_time=8.6s | eta=59.2m (finishes ~ 03:24:08)
Epoch 84/500 | latent_loss=0.001273 | mask_loss=0.000992 | total_loss=0.002265 | epoch_time=8.4s | eta=59.0m (finishes ~ 03:24:07)
Epoch 85/500 | latent_loss=0.001273 | mask_loss=0.000979 | total_loss=0.002252 | epoch_time=8.6s | eta=58.9m (finishes ~ 03:24:08)
Epoch 86/500 | latent_loss=0.001272 | mask_loss=0.000968 | total_loss=0.002240 | epoch_time=8.4s | eta=58.8m (finishes ~ 03:24:07)
Epoch 87/500 | latent_loss=0.001272 | mask_loss=0.000956 | total_loss=0.002228 | epoch_time=8.8s | eta=58.6m (finishes ~ 03:24:09)
Epoch 88/500 | latent_loss=0.001272 | mask_loss=0.000945 | total_loss=0.002217 | epoch_time=8.5s | eta=58.5m (finishes ~ 03:24:08)
Epoch 89/500 | latent_loss=0.001271 | mask_loss=0.000934 | total_loss=0.002206 | epoch_time=8.4s | eta=58.3m (finishes ~ 03:24:08)
Epoch 90/500 | latent_loss=0.001271 | mask_loss=0.000924 | total_loss=0.002195 | epoch_time=8.6s | eta=58.2m (finishes ~ 03:24:08)
Epoch 91/500 | latent_loss=0.001271 | mask_loss=0.000913 | total_loss=0.002184 | epoch_time=8.3s | eta=58.0m (finishes ~ 03:24:07)
Epoch 92/500 | latent_loss=0.001270 | mask_loss=0.000903 | total_loss=0.002174 | epoch_time=8.6s | eta=57.9m (finishes ~ 03:24:07)
Epoch 93/500 | latent_loss=0.001270 | mask_loss=0.000894 | total_loss=0.002164 | epoch_time=8.8s | eta=57.8m (finishes ~ 03:24:08)
Epoch 94/500 | latent_loss=0.001270 | mask_loss=0.000884 | total_loss=0.002154 | epoch_time=8.5s | eta=57.6m (finishes ~ 03:24:08)
Epoch 95/500 | latent_loss=0.001269 | mask_loss=0.000875 | total_loss=0.002144 | epoch_time=8.2s | eta=57.5m (finishes ~ 03:24:07)
Epoch 96/500 | latent_loss=0.001269 | mask_loss=0.000866 | total_loss=0.002135 | epoch_time=8.5s | eta=57.3m (finishes ~ 03:24:07)
Epoch 97/500 | latent_loss=0.001269 | mask_loss=0.000857 | total_loss=0.002126 | epoch_time=8.2s | eta=57.2m (finishes ~ 03:24:05)
